AIRO_ID,Roll_No,Off_Name,Add_1,Add_2,Add_3,Add_4,County,Ethos,Island,DEIS,Gaeltacht,M_13_14,F_13_14,T_13_14,xcoord,ycoord,Long,Lat,Sex
1,00651R,BORRIS MXD N S,BORRIS,CO CARLOW,,,Carlow,CATHOLIC,N,N,N,100,94,194,273199.0,150324.0,-6.919560000000001,52.5993,Mixed
2,00977B,BALLYCONNELL N S,Ballyconnell,Tullow,Co Carlow,,Carlow,CATHOLIC,N,N,N,80,79,159,292481.0,174367.0,-6.62828,52.8124,Mixed
3,01116A,BAILE AN CHUILINN N S,MUINEBEAG,CO CARLOW,,,Carlow,CATHOLIC,N,N,N,56,55,111,272463.0,155784.0,-6.9292300000000004,52.6485,Mixed
4,01215C,NEWTOWN DUNLECKNEY MXD,MUINEBEAG,CO CARLOW,,,Carlow,CATHOLIC,N,N,N,69,61,130,275959.0,164072.0,-6.8756699999999995,52.7225,Mixed
5,01415K,RATHOE NS,RATHOE,CO CARLOW,,,Carlow,CATHOLIC,N,N,N,92,86,178,281027.0,171359.0,-6.79887,52.7872,Mixed
6,02124E,SCOIL NAIS MOLAISE,OLD LEIGHLIN,VIA BILBOA,CO CARLOW,,Carlow,CATHOLIC,N,N,N,74,66,140,265307.0,165801.0,-7.03297,52.7394,Mixed
7,04077I,SCOIL NAIS BHRIDE,GRANGE,TULLOW,CO CARLOW,,Carlow,CATHOLIC,N,N,N,88,71,159,282120.0,176948.0,-6.78127,52.8373,Mixed
8,09320Q,SCOIL NAIS MHUIRE,DROIMFEIGH,BAGENALSTOWN,CO CARLOW,,Carlow,CATHOLIC,N,N,N,53,47,100,278553.0,156943.0,-6.83898,52.6581,Mixed
9,11135K,ST MARYS N S,MUINEBEAG,CO CARLOW,,,Carlow,CHURCH OF IRELAND,N,N,N,39,41,80,270371.0,161495.0,-6.95892,52.7001,Mixed
10,13105L,ST BRIDGETS MONASTERY,MUINEBEAG,CO CARLOW,,,Carlow,CATHOLIC,N,N,N,116,1,117,270696.0,161495.0,-6.954110000000001,52.7,Mixed
11,13507I,S N MUIRE LOURDES,TULLOW,CO CARLOW,,,Carlow,CATHOLIC,N,N,N,0,217,217,285444.0,172887.0,-6.73301,52.8003,Female
12,13607M,ST COLUMBAS N S,TULLOW,CO CARLOW,,,Carlow,CHURCH OF IRELAND,N,N,N,30,35,65,285514.0,173275.0,-6.73187,52.8037,Mixed
13,14837L,S N PEADAR AGUS POL,BALLON,CO CARLOW,,,Carlow,CATHOLIC,N,N,N,142,139,281,283204.0,165930.0,-6.7679800000000006,52.7381,Mixed
14,16080N,S N PHADRAIG NAOFA,PATRICIAN BROTHERS,TULLOW,CO CARLOW,,Carlow,CATHOLIC,N,N,N,229,0,229,285520.0,173189.0,-6.7318,52.803000000000004,Male
15,16938E,FR CULLEN MEMORIAL N S,TINRYLAND,CO CARLOW,,,Carlow,CATHOLIC,N,N,N,81,89,170,274499.0,172123.0,-6.89544,52.795,Mixed
16,17053P,BISHOP FOLEY MEMORIAL SCHOOL,Station Road,Co Carlow,,,Carlow,CATHOLIC,N,N,N,268,0,268,272512.0,177195.0,-6.923769999999999,52.8409,Male
17,17096K,S N NMH FHINGIN,GARRYHILL,MUINEBHEAG,CO CARLOW,,Carlow,CATHOLIC,N,Y,N,21,12,33,277649.0,159052.0,-6.851839999999999,52.6771,Mixed
18,17127S,ST JOSEPHS NS,HACKETSTOWN,CO CARLOW,,,Carlow,CATHOLIC,N,Y,N,73,73,146,297277.0,180092.0,-6.555460000000001,52.863,Mixed
19,17330P,SCOIL N MOLING-GLYNN,ST MULLINS,KILKENNY,,,Carlow,CATHOLIC,N,N,N,21,36,57,274201.0,139477.0,-6.9072,52.5017,Mixed
20,17462J,SCOIL NAIS MHICHIL,BAILE NUA,BORRIS,CO CARLOW,,Carlow,CATHOLIC,N,N,N,26,21,47,274418.0,144438.0,-6.9029,52.5463,Mixed
21,17481N,ST BRENDANS N S,DRUMMOND,ST MULLINS,KILKENNY,,Carlow,CATHOLIC,N,N,N,12,8,20,274710.0,136225.0,-6.90043,52.4724,Mixed
22,17501Q,Bennekerry National School,Bennekerry,Co Carlow,,,Carlow,CATHOLIC,N,N,N,200,199,399,276212.0,176121.0,-6.86912,52.8307,Mixed
23,17514C,S N CLUAIN NA GALL,CLONEGAL,ENNISCORTHY,CO WEXFORD,,Carlow,CATHOLIC,N,N,N,62,55,117,291401.0,161388.0,-6.64791,52.696000000000005,Mixed
24,17663T,ST PATRICKS N S,RATHVILLY,CO CARLOW,,,Carlow,CATHOLIC,N,N,N,96,95,191,288216.0,181805.0,-6.68951,52.8799,Mixed
25,17669I,S N TREASA NAOMHA,CILL TEAGAIN,CO CILLE MANNTAIN,,,Carlow,CATHOLIC,N,Y,N,32,33,65,293017.0,183185.0,-6.61781,52.8915,Mixed
26,17756D,BALLINABRANNA MXD N S,MILFORD,CO CARLOW,,,Carlow,CATHOLIC,N,N,N,83,85,168,268668.0,170962.0,-6.982130000000001,52.7854,Mixed
27,17796P,Our Lady's National School,Nurney,Carlow,Co Carlow,,Carlow,CATHOLIC,N,N,N,22,22,44,273518.0,166934.0,-6.91115,52.7485,Mixed
28,17994T,S N FHOIRTCHEIRN/FHININ,MIDHISEAL,CO CEATHARLACH,,,Carlow,CATHOLIC,N,N,N,60,63,123,282544.0,160140.0,-6.779210000000001,52.6862,Mixed
29,18024N,SCOIL MUIRE GAN SMAL,ARD AITINN,CO CEATHARLACH,,,Carlow,CATHOLIC,N,N,N,45,36,81,287428.0,167987.0,-6.704910000000001,52.7559,Mixed
30,18090D,S N CILL DAMHAIN,CILL DAMHAIN,INIS CORTHAIGH,CO LOCH GORMAN,,Carlow,CATHOLIC,N,N,N,52,47,99,288933.0,160048.0,-6.684769999999999,52.6844,Mixed
31,18183K,QUEEN OF UNIVERSE N S,MUINEBHEAG,CO CARLOW,,,Carlow,CATHOLIC,N,N,N,94,187,281,270129.0,161621.0,-6.96247,52.7012,Mixed
32,18363M,S N MUIRE GAN SMAL,GREEN LANE,CARLOW,,,Carlow,CATHOLIC,N,N,N,0,439,439,272633.0,176860.0,-6.92205,52.8378,Female
33,18424G,SCOIL NAIS IOSEF NAOFA,CARLOW,CO CARLOW,,,Carlow,CATHOLIC,N,N,N,164,1,165,272598.0,176948.0,-6.92255,52.8386,Mixed
34,18510W,St Patrick's National School,Ballymurphy,Borris,Co Carlow (via Kilkenny),,Carlow,CATHOLIC,N,N,N,24,27,51,277310.0,147230.0,-6.85962,52.571000000000005,Mixed
35,18609S,S N FIONTAIN NAOFA,RATHMORE,TULLOW,CO CARLOW,,Carlow,CATHOLIC,N,N,N,13,14,27,285279.0,179321.0,-6.73378,52.8581,Mixed
36,18615N,S N CEATHARLACH,GREEN ROAD,CARLOW,,,Carlow,CHURCH OF IRELAND,N,N,N,73,59,132,271992.0,175585.0,-6.93185,52.8265,Mixed
